"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","05",1895,9149,20.7126461908405,14.8912205244477,1.39,"Coahuila","Alto"
"2","09",7773,41177,18.877043009447,14.8912205244477,1.27,"CDMX","Alto"
"3","11",3335,18902,17.643635594117,14.8912205244477,1.18,"Guanajuato","Alto"
"4","28",1865,11104,16.7957492795389,14.8912205244477,1.13,"Tamaulipas","Alto"
"5","15",8131,48616,16.7249465196643,14.8912205244477,1.12,"México","Alto"
"6","29",686,4099,16.7357892168822,14.8912205244477,1.12,"Tlaxcala","Alto"
"7","27",1152,7050,16.3404255319149,14.8912205244477,1.1,"Tabasco","Alto"
"8","17",999,6424,15.5510585305106,14.8912205244477,1.04,"Morelos","Alto"
"9","21",3641,23599,15.4286198567736,14.8912205244477,1.04,"Puebla","Alto"
"10","10",857,5606,15.2871922939707,14.8912205244477,1.03,"Durango","Alto"
"11","01",559,3683,15.1778441487917,14.8912205244477,1.02,"Aguascalientes","Alto"
"12","16",2575,17056,15.0973264540338,14.8912205244477,1.01,"Michoacán","Alto"
"13","14",4207,28173,14.932737017712,14.8912205244477,1,"Jalisco","Moderado"
"14","19",2265,15161,14.9396477804894,14.8912205244477,1,"Nuevo León","Moderado"
"15","06",326,2268,14.373897707231,14.8912205244477,0.97,"Colima","Moderado"
"16","30",4545,31868,14.2619555667127,14.8912205244477,0.96,"Veracruz","Moderado"
"17","25",1311,9782,13.402167245962,14.8912205244477,0.9,"Sinaloa","Moderado"
"18","22",739,5679,13.0128543757704,14.8912205244477,0.87,"Querétaro","Moderado"
"19","26",1338,10385,12.8839672604718,14.8912205244477,0.87,"Sonora","Moderado"
"20","03",218,1693,12.8765505020673,14.8912205244477,0.86,"Baja California Sur","Moderado"
"21","24",1236,9674,12.7765143684102,14.8912205244477,0.86,"San Luis Potosí","Moderado"
"22","02",1385,11037,12.5486998278518,14.8912205244477,0.84,"Baja California","Moderado"
"23","08",1801,14476,12.4412821221332,14.8912205244477,0.84,"Chihuahua","Moderado"
"24","12",1285,10276,12.5048657065006,14.8912205244477,0.84,"Guerrero","Moderado"
"25","13",1179,9382,12.5666169260286,14.8912205244477,0.84,"Hidalgo","Moderado"
"26","18",502,4040,12.4257425742574,14.8912205244477,0.83,"Nayarit","Moderado"
"27","31",931,7694,12.1003379256564,14.8912205244477,0.81,"Yucatán","Moderado"
"28","32",738,6165,11.970802919708,14.8912205244477,0.8,"Zacatecas","Moderado"
"29","04",310,2636,11.7602427921093,14.8912205244477,0.79,"Campeche","Moderado"
"30","23",295,2655,11.1111111111111,14.8912205244477,0.75,"Quintana Roo","Moderado"
"31","20",1721,16272,10.5764503441495,14.8912205244477,0.71,"Oaxaca","Moderado"
"32","07",1412,15280,9.24083769633508,14.8912205244477,0.62,"Chiapas","Moderado"
